SUBJECT	IEDB alternative term:	definition:	CLASS_TYPE	:>> %	:>> 'has part' some %	:>> has_specified_input some %	:>> (has_specified_input some %) and (realizes some ('reagent role' and ('inheres in' some %)))	:>> has_specified_input some (% and ('has part' some 'MH:>> protein complex'))	:>> has_specified_output some ('information content entity' and ('is about' some %))	:>> has_specified_output some ('information content entity' and ('is about' some (% and ('process is result of' some 'immunoglobulin binding to epitope'))))	:>> has_specified_output some ('information content entity' and ('is about' some (% and ('process is result of' some 'MHC:epitope complex binding to TCR'))))	:>> has_specified_output some %	:>> has_specified_output some ('has measurement unit label' value %)	term editor:	definition source:
cell culture analyte detection bioassay measuring epitope specific interleukin-16 production by T cells	IL-16 release|bioassay	An assay of epitope specific interleukin-16 production by T cells that uses a cell culture analyte detection bioassay.	equivalent to	biological activity assay measuring epitope specific interleukin-16 production by T cells	reporter cell line analyte detection bioassay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISA measuring epitope specific macrophage inflammatory protein-1 alpha production by T cells	CCL3/MIP-1a release|ELISA	An assay of epitope specific macrophage inflammatory protein-1 alpha production by T cells that uses an ELISA.	equivalent to	biological activity assay measuring epitope specific macrophage inflammatory protein-1 alpha production by T cells	enzyme-linked immunosorbent assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
intracellular cytokine staining assay measuring epitope specific granulocyte macrophage colony-stimulating factor production by T cells	GM-CSF release|ICS	An assay of epitope specific granulocyte macrophage colony stimulating factor production by T cells that uses an intracellular cytokine staining assay.	equivalent to	biological activity assay measuring epitope specific granulocyte macrophage colony stimulating factor production by T cells	flow cytometry assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
biological activity assay measuring epitope specific IP-10 production by T cells	CXCL10/IP-10 release|biological activity	A T cell epitope specific cytokine production assay that detects IP-10 production by T cells.	equivalent to	biological activity assay measuring epitope specific cytokine production by T cells					IP-10 production					PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
intracellular cytokine staining assay measuring epitope specific interleukin-13 production by T cells	IL-13 release|ICS	An assay of epitope specific interleukin-13 production by T cells that uses an intracellular cytokine staining assay.	equivalent to	biological activity assay measuring epitope specific interleukin-13 production by T cells	flow cytometry assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
X-ray crystallography assay determining the 3D structure of a T cell epitope:MHC:TCR complex	3D structure|x-ray crystallography|angstroms	A T cell epitope 3D structure determination assay that uses an X-ray crystallography assay.	equivalent to	3D structure determining assay of a T cell epitope:MHC:TCR complex	X-ray crystallography assay								angstrom	PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISA measuring epitope specific chemokine (C-C motif) ligand 1 production by T cells	CCL1/TCA-3 release|ELISA	An assay of epitope specific chemokine (C-C motif) ligand 1 production by T cells that uses an ELISA.	equivalent to	biological activity assay measuring epitope specific chemokine (C-C motif) ligand 1 production by T cells	enzyme-linked immunosorbent assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
flow cytometry assay measuring cell-cell binding of a T cell epitope:MHC:TCR complex	T cell- APC binding|binding assay	A T cell epitope qualitative binding assay that uses a cell-cell binding detection by flow cytometry assay.	equivalent to	assay measuring qualitiative binding of a T cell epitope:MHC:TCR complex	flow cytometry assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
cell culture analyte detection bioassay measuring epitope specific interferon-gamma production by T cells	IFNg release|bioassay	An assay of epitope specific interferon-gamma production by T cells that uses a cell culture analyte detection bioassay.	equivalent to	biological activity assay measuring epitope specific interferon-gamma production by T cells	reporter cell line analyte detection bioassay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISPOT assay measuring epitope specific granzyme B release by T cells	granzyme B release|ELISPOT	A T cell epitope specific granzyme B release assay that uses an ELISPOT assay.	equivalent to	biological activity assay measuring epitope specific granzyme B release by T cells	enzyme-linked immunospot assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
in vivo assay measuring T cell epitope specific tolerance induction	tolerance|in vivo assay	An efficacy of T cell epitope intervention experiment that uses a tolerance induction intervention experiment.	equivalent to	biological activity assay measuring T cell epitope specific in vivo activity	tolerance induction intervention experiment						T cell tolerance induction			PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
detection of specific nucleic acids with complementary probes assay measuring epitope specific RANTES production by T cells	CCL5/RANTES release|RNA/DNA detection	An assay of epitope specific RANTES production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	equivalent to	biological activity assay measuring epitope specific RANTES production by T cells	detection of specific nucleic acid polymers with complementary probes									IEDB	IEDB
cytometric bead array assay measuring epitope specific interleukin-4 production by T cells	IL-4 release|cytometric bead array	An assay of epitope specific interleukin-4 production by T cells that uses a cytometric bead array assay.	equivalent to	biological activity assay measuring epitope specific interleukin-4 production by T cells	cytometric bead array assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
biological activity assay measuring epitope specific lymphotoxin A production by T cells	lymphotoxin A/TNFb release|biological activity	A T cell epitope specific cytokine production assay that detects lymphotoxin A production by T cells.	equivalent to	biological activity assay measuring epitope specific tumor necrosis factor superfamily cytokine production by T cells					lymphotoxin A production					PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISA measuring epitope specific chemokine (C-X-C motif) ligand 9 production by T cells	CXCL9/MIG release|ELISA	An assay of epitope specific chemokine (C-X-C motif) ligand 9 production by T cells that uses an ELISA.	equivalent to	biological activity assay measuring epitope specific chemokine (C-X-C motif) ligand 9 production by T cells	enzyme-linked immunosorbent assay									IEDB	IEDB
biological activity assay measuring epitope specific macrophage inflammatory protein-1 alpha production by T cells	CCL3/MIP-1a release|biological activity	A T cell epitope specific cytokine production assay that detects macrophage inflammatory protein-1 alpha production by T cells.	equivalent to	biological activity assay measuring epitope specific cytokine production by T cells					macrophage inflammatory protein-1 alpha production					PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
detection of specific nucleic acids with complementary probes assay measuring epitope specific interleukin-4 production by T cells	IL-4 release|RNA/DNA detection	An assay of epitope specific interleukin-4 production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	equivalent to	biological activity assay measuring epitope specific interleukin-4 production by T cells	detection of specific nucleic acid polymers with complementary probes									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
cell culture analyte detection bioassay measuring epitope specific granulocyte macrophage colony-stimulating factor production by T cells	GM-CSF release|bioassay	An assay of epitope specific granulocyte macrophage colony stimulating factor production by T cells that uses a cell culture analyte detection bioassay.	equivalent to	biological activity assay measuring epitope specific granulocyte macrophage colony stimulating factor production by T cells	reporter cell line analyte detection bioassay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
intracellular cytokine staining assay measuring epitope specific interleukin-21 production by T cells	IL-21 release|ICS	An assay of epitope specific interleukin-21 production by T cells that uses an intracellular cytokine staining assay.	equivalent to	biological activity assay measuring epitope specific interleukin-21 production by T cells	flow cytometry assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
